informal	formal
0kmh	0 kmh
1007mb	1007 mb
1008mb	1008 mb
1009mb	1009 mb
100k	100 ribu
1010mb	1010 mb
1011mb	1011 mb
1012mb	1012 mb
1017mb	1017 mb
1018mb	1018 mb
106m	106 m
10km	10 kilometer
10rb	10 ribu
10th	kesepuluh
110cm	110 centimeter
120rb	120 ribu
150rb	150 ribu
15k	15000
17cm	17 cm
17th	17 tahun
1kmh	1 kilometer per jam
1st	pertama
1x	sekali
200rb	"200.000"
20k	20000
20rb	20 ribu
20th	keduapuluh
22c	22 c
23c	23 c
24c	24 c
24th	24 tahun
25c	25 c
25th	25 tahun
26c	26 c
27c	27 c
28c	28 c
29c	29 c
2kmh	2 kilometer per jam
2nd	kedua
2x	dua kali
300rb	300 ribu
30c	30 c
30s	30 detik
31c	31 c
350rb	350 ribu
3kmh	1 kilometer per jam
3rd	ketiga
4kmh	4 kilometer per jam
4th	keempat
4x	4 kali
500rb	500 ribu
50k	50000
50rb	50000
551pm	5:51 sore
552pm	5:52 sore
5k	5 ribu
5kmh	5 kmh
5th	kelima
5x	5 kali
60rb	60000
6kmh	6 kmh
6th	keenam
7kmh	7 kilometer per jam
7th	ketujuh
8th	8 tahun
9th	kesembilan
aa	kakak
aah	ah
aamiin	amin
aamin	amin
abang2	abang-abang
abg	remaja tanggung
abi	ayah
abisnya	habisnya
abng	abang
acc	menyetujui
acheh	aceh
achievements	penghargaan
activities	aktifitas
ad	ada
adaa	ada
adek	adik
adek2	adik-adik
adekku	adikku
adeknya	adiknya
adha	ada
adik2	adik-adik
adk	arsip data komputer
adlh	adalah
adoh	aduh
aduhh	aduh
aduhhh	aduh
adus	mandi
adventures	petualangan
ae	saja
agan	juragan
ahahaha	hahaha
ahhh	ah
ahhhh	ah
aing	aku
airline	perusahaan penerbangan
aj	saja
ajaa	saja
ajaaa	saja
ajaaaa	aja
ajah	saja
ajakin	mengajak
ajalah	saja-lah
ajarin	mengajarkan
aje	saja
ajg	anjing
ajh	aja
ajig	anjing
ak	aku
akeh	banyak
akhir2	akhir-akhir
akn	akan
akoh	aku
aktifitas	aktivitas
akuh	aku
akutu	aku itu
akutuh	aku itu
akuu	aku
akuuu	aku
akuuuu	aku
ala2	ala-ala
alaa	ala
alai	anak layangan
alamin	mengalami
alay	anak layangan
algo	algoritme
alhamdulillaah	alhamdulillah
allaah	Allah
allahuakbar	allahu akbar
allhamdulillah	alhamdulillah
alloh	allah
alon	pelan
alus	halus
ambulan	ambulans
ambyar	bercerai-berai
america	amerika
american	Amerika
amigos	teman-teman
amiiin	amin
amiin	amin
aminnn	amin
amo	cinta
anak2	anak-anak
ancur	hancur
ane	aku
aneh2	aneh-aneh
angels	malaikat
anget	hangat
anggep	anggap
animals	binatang
anjay	anjing
anjeng	anjing
anjg	anjing
anjirr	anjing
anjirrr	anjing
ank	anak
anter	antar
anterin	antarkan
antum	anda
anying	anjing
anymore	lagi
ap	apa
apa2	apa-apa
apaa	apa
apaaa	apa
apakabar	apa kabar
apal	hafal
apartement	apartemen
apasih	apa
apo	apa
app	aplikasi
apus	hapus
aq	aku
aquarius	akuarius
aqui	akui
arabica	arabika
arep	harap
arrived	sampai
aseli	asli
ashar	asar
asik	asyik
asked	bertanya
asking	bertanya
assalammualaikum	assalamualaikum
astagaaa	astaga
at	pada
atjeh	aceh
atlit	atlet
ato	atau
attending	menghadiri
atu	satu
atw	atau
aunty	tante
awakmu	badanmu
awards	penghargaan
ay	sayang
aya	ada
ayok	ayo
ayoo	ayo
ayooo	ayo
ayoooo	ayo
babies	bayi-bayi
babybenz	baby benz
babynya	bayinya
bacod	berisik
badmood	suasana buruk
baek	baik
bagaimanapun	bagaimana pun
bagi2	bagi-bagi
bagus2	bagus-bagus
bai	selamat tinggal
baik2	baik-baik
baiq	baik
bakmie	bakmi
baksos	bakti sosial
balaikota	balai kota
balek	kembali
bales	membalas
balikin	kembalikan
balinese	orang bali
bambank	bambang
bang	ngab
bangett	sangat
bangettt	sangat
bangke	bangkai
bangun2	bangun-bangun
bangunin	membangunkan
bantuin	membantu
banyak2	banyak-banyak
banyakin	dibanyaki
bapak2	bapak-bapak
bapake	bapaknya
bapakibu	bapak ibu
baper	bawa perasaan
baperan	sensitif
barakallah	semoga diberkahi allah
bareng2	bersama-sama
barengan	bersama
barokah	berkah
baruu	baru
basecamp	markas
basudara	bersaudara
bathin	batin
batre	baterai
batur	teman
bawain	membawakan
bayangin	bayangkan
bayarin	membayarkan
bb	sayang
bbrp	beberapa
bby	sayang
bc	karena
bcs	karena
bct	banyak omong
bday	hari ulang tahun
bdg	Bandung
beaches	pantai-pantai
beautifull	cantik
beb	sayang
became	menjadi
becanda	bercanda
beda2	beda-beda
bedain	membedakan
bedua	berdua
began	memulai
begins	mulai
begitulah	seperti itulah
beliin	membelikan
belom	belum
bem	badan eksekutif mahasiswa
benar2	benar-benar
bener	benar
bener2	benar-benar
beneran	serius
benerin	benarkan
bensu	Ruben Onsu
beraktifitas	beraktivitas
beranih	berani
berantem	berhantam
berenti	berhenti
beresin	membereskan
berfikir	berpikir
berflower	berkembang
berkali2	berkali-kali
bermacam2	bermacam-macam
bersholawat	berselawat
bersihin	membersihkah
besok2	besok-besok
bestfriend	sahabat
bestie	sahabat
bete	bosan total
betol	betul
beud	sekali
bg	bang
bget	sangat
bgini	begini
bgitu	begitu
bgmn	bagaimana
bgni	seperti ini
bgsd	bangsat
bgst	bangsat
bgt	sekali
bgtt	sangat
bgttt	sangat
bgtu	begitu
bgus	bagus
bhs	bahas
bhw	bahwa
biarin	biarkan
bigmall	mall besar
bikers	pengendara sepeda
biking	bersepeda
bikinin	buatkan
bilangin	sampaikan
binggung	bingung
bio	biodata
birds	burung-burung
bisaa	bisa
bisaaa	bisa
bissmillah	bismillah
bkan	bukan
bkin	buat
bkn	bukan
bks	bekas
blang	berkata
blessings	anugerah
